id,name,description,price_sek,price_eur,category,brand,country,volume,alcohol_percentage,image_url,in_stock,article_number,detailed_title
119656,Attis Lias Finas,,24.95,,,Attis,,,,/owif/images/119656?size=300,,,Pardon Our Interruption
118933,Baron de Ley Blanco,"Baren de Ley Blanco är en fräsch blandning från Viura och Verdejo. Viura-druvorna kommer från högt liggande gårdar som påverkas av Atlantens klimat. Detta garanterar vinets eleganta fräschhet. Verdejo-druvorna kommer från gården Finca Carboneras, som är den högst liggande vingården på hela Rioja-området. Eftersom Verdejo-druvorna växer så högt uppe så bidrar de med en tropisk fruktighet och aromat till vinet. På grund av sin fräschhet och fruktighet så lämpar sig vinet utmärkt bland annat som aperitif eller som sällskapsdryk samt med lågfettig fisk.  ",9.5,,,Baron de Ley,,,,/owif/images/118933?size=300,,,Pardon Our Interruption
108999,Baron de Ley Gran Reserva,"Vinet är behagligt rubinrött, vid glaskanten noteras toner av orange. Doften är mycket intensiv med aromer av mogen frukt och russin. Doften utvecklas och näsan skönjer kryddor och tobak. Smaken är mjuk och tanninerna silkeslena. Den långa efersmaken med toner av frukt och rostade aromer lämnar munnen behagligt fräsch.",21.95,,,Baron de Ley,,,,/owif/images/108999?size=300,,,Pardon Our Interruption
110054,Baron de Ley Gran Reserva Magnum,"Vinet är behagligt rubinrött, vid glaskanten noteras toner av orange. Doften är mycket intensiv med aromer av mogen frukt och russin. Doften utvecklas och näsan skönjer kryddor och tobak. Smaken är mjuk och tanninerna silkeslena. Den långa efersmaken med toner av frukt och rostade aromer lämnar munnen behagligt fräsch.",49.95,,,Baron de Ley,,,,/owif/images/110054?size=300,,,Pardon Our Interruption
109353,Baron de Ley Reserva,"Fyllig, höga tanniner, mörk bärighet, plommonkaraktär, lätt vaniljton, svag läderton, ekig.",11.5,,,Baron de Ley,,,,/owif/images/109353?size=300,,,Pardon Our Interruption
110055,Baron de Ley Reserva Magnum,"Fyllig, höga tanniner, mörk bärighet, plommonkaraktär, lätt vaniljton, svag läderton, ekig.",19.95,,,Baron de Ley,,,,/owif/images/110055?size=300,,,Pardon Our Interruption
119592,Baron de Ley Semi Dulce,"Halvsöt, färsk syrlig, fruktig, päron och milt örtig. Bra syra lättar upp sötman och gör vinet balanserat.",10.5,,,Baron de Ley,,,,/owif/images/119592?size=300,,,Pardon Our Interruption
119922,Battenfeld Spanier Kalkglimmer Riesling Trocken,,16.95,,,Battenfeld Spanier,,,,/owif/images/119922?size=300,,,Pardon Our Interruption
109876,Battenfeld Spanier Spätburgunder Trocken,"Since the Middle Ages, the southern Wonnegau has been recognized for having a growing climate unlike any other in Germany. Grape varieties that struggle elsewhere have been shown to thrive here, with Spätburgunder (Pinot Noir) as a prime example.Our estate-level Spätburgunder is matured in third and fourth-fill barrique, lending it the delicate fruitiness and earthy spice for which it is renowned.We carefully monitor the ripeness levels of the grapes to ensure a juicy freshness and cool, linear character. Fragrant notes of red berries and cassis open the nose, followed by dark fruits layered with an elegant herbal freshness. The palate is dry, bright and juicy with a delicate spice on the finish.VDP Member since 2008.https://www.vdp.de/en/die-winzer/rheinhessen/vdpweingut-battenfeld-spanier",19.95,,,Battenfeld Spanier,,,,/owif/images/109876?size=300,,,Pardon Our Interruption
109503,Beronia Gran Reserva,"Beronia Gran Reserva 2010 is a deep maroon colour. On the nose it displays many differentaromas, from fruit such as strawberry and blackberry to cocoa and black liquorice, withnotes of cedar reminiscent of the wood in its natural environment and notes of mentholthat add tremendous freshness. It delivers distinct notes of fruit and nuts on the palate,which provide structure and tannin. The wine is long, very complex, balanced and alsosophisticated. ",18.95,,,Beronia,,,,/owif/images/109503?size=300,,,Pardon Our Interruption
109731,Beronia Reserva,"Beronia Reserva 2014 is a deep black plum colour, clean and bright with a garnet rim. Attractive and intriguing on the nose it displays nutty aromas – roasted almonds, walnuts – followed by notes of plum primarily but also ripe fruit and a pleasant hint of white pepper, which all add complexity and freshness. Full bodied the palate, the wine displays balanced acidity. Theflavours are motly of ripe fruit, whilst the finish is sweet and smooth, bringing to mind cacao and roasted hazelnuts. This is a delicious wine, best enjoyed unhurriedly.",13.95,,,Beronia,,,,/owif/images/109731?size=300,,,Pardon Our Interruption
110196,Billebeino Negroamaro,"Ett Riserva-klassificerat rödvin av druvsorten Negroamaro som kommer från regionen Salice Salentino i provinsen Apulien.  Den har lagrats på ekfat i 12 månader och har en raffinerad, utvecklad profil och en munsmekande behaglig rikedom.",10.95,,,Billebeino Wine,,,,/owif/images/110196?size=300,,,Pardon Our Interruption
109498,Black Cottage Pinot Noir,"Intensiv doft av körsbär, jordgubbe och hallon med nyans av viol, stjärnanis och rose peppar.Friskt, fruktigt medelfylligt vin med lena tanniner, viss kryddighet och noter av mörk frukt och lakrits. Lång och silkeslen eftersmak.",16.5,,,Black Cottage Wines ,,,,/owif/images/109498?size=300,,,Pardon Our Interruption
118057,Black Cottage Sauvignon Blanc,"Intensiva aromer av sitrusfrukt, kiwi, krusbär, litchi och röd spanskpeppar leder till en rik, torr smak fylld med saftig syra. I smaken inslag av svarta vinbärsblad, krusbär och cantaloupe melon. Lång, frisk eftersmak av citrus och örter.",13.5,,,Black Cottage Wines ,,,,/owif/images/118057?size=300,,,Pardon Our Interruption
118743,Black Tower Riesling BIB,"Torr, hög syra, citruskaraktär, inslag av gröna äpplen, lätt vitvinbärston, svag blommighet ",21.95,,,Black Tower,,,,/owif/images/118743?size=300,,,Pardon Our Interruption
117379,Bonterra Chardonnay,"Torr, medelhög syra, honungskaraktär, tropisk fruktighet, inslag av gröna äpplen",11.95,,,Bonterra,,,,/owif/images/117379?size=300,,,Pardon Our Interruption
107499,Bonterra Zinfandel,"Medelfyllig, medelhöga tanniner, tranbärig, ton av jordgubbssylt, hallonkaraktär, lätt lakritston, svaga toner av barr",11.95,,,Bonterra,,,,/owif/images/107499?size=300,,,Pardon Our Interruption
110238,Borgogno Barbera d'Alba,,18.95,,,Borgogno & Figli,,,,/owif/images/110238?size=300,,,Pardon Our Interruption
108779,Bottega Amarone della Valpolicella,"Amarone is a full bodied, balanced and pleasant wine. It is grown in the Valpolicella area, in Veneto, near Verona.The selected harvest, the drying on trellises and ageing in small oak casks make it ""Il vino degli Dei"" (The Wine of Gods).",29.95,,,Bottega ,,,,/owif/images/108779?size=300,,,Pardon Our Interruption
108556,Bottega Cabernet delle Venezie IGT,"Cabernet Sauvignon Igt delle Venezie is a powerful wine, full bodied and persistent on the palate.",7.5,,,Bottega ,,,,/owif/images/108556?size=300,,,Pardon Our Interruption
108843,Bottega Chianti Classico D.O.C.G.,,14.5,,,Bottega ,,,,/owif/images/108843?size=300,,,Pardon Our Interruption
118584,Bottega Collio Pinot Grigio,,12.5,,,Bottega ,,,,/owif/images/118584?size=300,,,Pardon Our Interruption
118035,Bottega Pinot Grigio delle Venezie I.G.T.,Pinot Grigio Igt delle Venezie is a dry wine with pleasant fruity scents.,8.5,,,Bottega ,,,,/owif/images/118035?size=300,,,Pardon Our Interruption
127128,Bottega Pinot Grigio Rosato I.G.T.,,7.95,,,Bottega ,,,,/owif/images/127128?size=300,,,Pardon Our Interruption
110154,Bottega Pret à Porter Amarone Riserva DOCG,,58.95,,,Bottega ,,,,/owif/images/110154?size=300,,,Pardon Our Interruption
118192,Bottega Sauvignon Blanc,,10.5,,,Bottega ,,,,/owif/images/118192?size=300,,,Pardon Our Interruption
108428,Bottega Valpolicella Classico,Valpolicella Classico is a red wine suitable for all occasions.It goes particularly well with poultry and cheese.,11.95,,,Bottega ,,,,/owif/images/108428?size=300,,,Pardon Our Interruption
107962,Bottega Valpolicella Ripasso D.O.C.,"Ripasso is a traditional wine from the Valpolicella area, in Veneto, near Verona. It is an enological novelty which stands out thanks to its double fermentation, which refines the best aromas.",15.5,,,Bottega ,,,,/owif/images/107962?size=300,,,Pardon Our Interruption
109371,Bottega Venedikà Venezia D.O.C.,,16.5,,,Bottega ,,,,/owif/images/109371?size=300,,,Pardon Our Interruption
107960,Bottega Vino dei Poeti Brunello di Montalcino D.O.C.G.,"Brunello di Montalcino is one of the most prestigious Italian wines, well-known all over the world. It is regarded as one of the red wines that best guarantees longevity. Montalcino is located about forty miles south of the city of Siena, in a beautiful hilly area. An uncontaminated agricultural landscape of great history and great beauty that, since2004, is registered on the UNESCO World Heritage list.",29.95,,,Bottega ,,,,/owif/images/107960?size=300,,,Pardon Our Interruption
110166,Bread & Butter Pinot Noir BIB,"En prisbelönt global framgångssaga och ett av Sveriges mest sålda röda viner. Framställningsmetod: Druvorna skördas från de coolaste områdena i Kalifornien för att garantera multidimensionalitet. Vinet åldras i ståltankar, varefter det mognar 3-6 månader på ståltankar och delvis på ek. I en miljövänlig Bag-in-Box. Lågt koldioxidavtryck, fyllt i Danmark.Beskrivning: Doften är rik röd frukt och bär. Den torra smaken är behagligt mogen och tanninerna är mjuka. Den friska syran balanserar vinets fruktighet. Napa Valley's Bread & Butter startade 2013 från vinmakaren Linda Trottas idé om en serie klassiska kaliforniska viner som skulle vara lättillgängligt okomplicerade, men samtidigt övertygande i sin kvalitet. Vinerna uppmärksammades snabbt och Linda tilldelades Årets Kalifonri vinmakare 2018. Sedan 2019 har gården funnits på listan över de snabbast växande TOP100 kraftvinsmärkena.",27.95,,,Bread & Butter,,,,/owif/images/110166?size=300,,,Pardon Our Interruption
119790,Bruce Jack Lifestyle Chenin Blanc,"Sydafrika producerar fantastiska viner av druvan Chenin Blanc.Detta vin är ett utmärkt exempel på det och kommer från Breedekloof. Druvor från äldre stockar fick jäsa på franska ekfat för att få ett djup och komplexitet.Vinet har en generös smak av stenfrukt, tropisk frukt och citrus.",9.95,,,Bruce Jack,,,,/owif/images/119790?size=300,,,Pardon Our Interruption
119791,Bruce Jack Lifestyle Sauvignon Blush,Efter jäsningen av sauvignon blancdruvorna tillsätts skal av shirazdruvanför att ge vinet en vacker laxrosa färg och en fräsch attraktiv smak.Vinet får smak av rosor och nektarinsorbet och en touch av pressad limefrukt.,9.95,,,Bruce Jack,,,,/owif/images/119791?size=300,,,Pardon Our Interruption
119792,Cali by Snoop Blanc,"Friskt och fruktigt vitt vin med mogen solmogen frukt.I smaken kan du känna aromer av örter, citrus och honungsmelon. Syran i vinet ger en frisk eftersmak som passar till matbordet.",11.95,,,Cali by Snoop,,,,/owif/images/119792?size=300,,,Pardon Our Interruption
109947,Cali by Snoop Red Blend,Fylligt vin med tydlig smak av mörka frukter och bär från druvan Petit Sirah som kompletteras med smak av ljus röda frukter och liten touch av kanderad frukt. Rostade fattoner integreras väl med frukten och ger en utvecklad mogen eftersmak.,12.95,,,Cali by Snoop,,,,/owif/images/109947?size=300,,,Pardon Our Interruption
110088,Camden Park Cabernet Sauvignon/Shiraz BIB,"Fyllig, höga tanniner, surkörsbärskaraktär, svartvinbärig, plommonkaraktär, lätt vaniljton, rostad. Mustig och syltig. ",17.95,,,Camden Park,,,,/owif/images/110088?size=300,,,Pardon Our Interruption
110051,Camden Park Shiraz Petit Verdot CS tetra,"Medelfyllig, medelhöga tanniner, körsbärig, hallonkaraktär, jordgubbig, lätt kryddighet. Mustigt and syltigt. ",7.5,,,Camden Park,,,,/owif/images/110051?size=300,,,Pardon Our Interruption
119714,Cape Original Fruity & Tropical,"Halvtorr, låg syra, klementinkaraktär, päronkaraktär, inslag av honungsmelon, lätt ton av gula plommon. Milt och sötaktigt.",7.95,,,Origin Wine,,,,/owif/images/119714?size=300,,,Pardon Our Interruption
109667,Casalforte Rosso BIB,"Casalforte rosso är ett strukturerat och elegant vin med en mycket god koncentration av blåbär, körsbär, choklad,, syltade bär och en angenäm ton av kryddor så som nejlika och vanilj. Mjuka tanniner i vinet gör att det går mycket bra med en krämig pasta, grillat rött kött och mogna ostar.",17.95,,,Casalforte,,,,/owif/images/109667?size=300,,,Pardon Our Interruption
107421,Casillero del Diablo Cabernet Sauvignon,,7.65,,,Casillero del Diablo,,,,/owif/images/107421?size=300,,,Pardon Our Interruption
108773,Casillero del Diablo Cabernet Sauvignon BIB,"Medelfyllig, medelhöga tanniner, svartvinbärig, körsbärig, lätta inslag av paprika, kryddig, svag örtighet",24.5,,,Casillero del Diablo,,,,/owif/images/108773?size=300,,,Pardon Our Interruption
117311,Casillero del Diablo Chardonnay,"Torr, hög syra, citruskaraktär, persikakaraktär, lätt vinbärighet, svag örtighet",7.25,,,Casillero del Diablo,,,,/owif/images/117311?size=300,,,Pardon Our Interruption
118234,Casillero del Diablo Chardonnay BIB,"Torr, hög syra, citruskaraktär, persikakaraktär, lätt vinbärighet, svag örtighet",19.95,,,Casillero del Diablo,,,,/owif/images/118234?size=300,,,Pardon Our Interruption
109335,Casillero del Diablo Merlot,"Mycket fruktig smak med fatkaraktär, inslag av svarta vinbär, kryddor, plommon, blåbär, örter och vanilj. ",7.25,,,Casillero del Diablo,,,,/owif/images/109335?size=300,,,Pardon Our Interruption
110038,Casillero del Diablo Pinot Noir,"Medelfyllig, medelhöga tanniner, körsbärig, vinbärig, björnbärig, kryddig, lätt blommighet",7.65,,,Casillero del Diablo,,,,/owif/images/110038?size=300,,,Pardon Our Interruption
127062,Casillero del Diablo Rosé,"Färg: laxrosa.Doft: Frisk, med djupa inslag av röda bär, björnbär och vilda hallon.Smak: Den angenäma syran och medelfylligheten kvarstår på gommen en lång stund,  åtföljd av smaker av björnbär och färska plommon.",7.25,,,Casillero del Diablo,,,,/owif/images/127062?size=300,,,Pardon Our Interruption
118373,Casillero del Diablo Sauvignon Blanc,"Torr, hög syra, citruskaraktär, lätta inslag av krusbär, örtig, svag ton av svartvinbärsblad ",7.25,,,Casillero del Diablo,,,,/owif/images/118373?size=300,,,Pardon Our Interruption
107573,Casillero del Diablo Shiraz,"Fyllig, höga tanniner, svartvinbärig, björnbärig, toner av mörka körsbär, hallonkaraktär, plommonkaraktär, kryddig",7.65,,,Casillero del Diablo,,,,/owif/images/107573?size=300,,,Pardon Our Interruption
110017,Castelgiocondo Brunello di Montalcino,"Ett vin med levande och intensiv rubinröd färg. Den breda doften har toner av skogsbär, mogna röda bär och blommiga nyanser. I smaken balanseras tanniner och mineralitet på ett elegant vis. Eftersmaken sitter i länge och har en värmande karaktär av söta kryddor och balsamico.",32.95,,,Frescobaldi,,,,/owif/images/110017?size=300,,,Pardon Our Interruption
108344,Castello D'albola Chianti Classico D.O.C.G.,"Denna härliga Chianti Classico har en djup, rubinröd färg. Doften har inslag av mogna körsbär och röda plommon, rostade vanilj, röda vinbär, lakrits och viol. Smaken är magiskt balanserad mellan frukten, en liten strävhet och en härlig syra. ",12.95,,,Castello d'Albola,,,,/owif/images/108344?size=300,,,Pardon Our Interruption
119817,Cecilia Beretta Brognolino Soave Classico,"Soave är det vita vinet från Verona. Det har en mjuk gul färg med en grön nyans. Doften öppnar med noter av kamomill, tropiska frukter och inslag av rostning. Friskt, smakrikt och välbalanserat, lämnar det en mandel eftersmak som blandas med den upplevda olfaktoriska sötman, vilket är karakteristiskt för Garganega-druvan.Druvklasarna torkas delvis på vinstockarna i 2-3 veckor innan de noggrant skördas för hand. Efter mjuk pressning sker jäsningen i ståltankar med utvalda jäststammar vid en kontrollerad temperatur mellan 15-17° C i cirka 15 dagar och den malolaktiska jäsningen blockeras. Cirka 10-15% av musten avslutar alkoholjäsningen i begagnade ekfat där den malolaktiska jäsningen också slutförs. De två vinerna blandas sedan i ståltankar där vinet förblir i kontakt med jästfällningen i ungefär 3 månader.",12.95,,,Cecilia Beretta,,,,/owif/images/119817?size=300,,,Pardon Our Interruption
110192,Cecilia Beretta Valpolicella Superiore Ripasso,"Djupt röd i färgen, den presenterar sig med intensiva aromer av maraskakörsbär, blåbär och svartvinbär följt av toner av lakrits och rostning. Rik, rund och len på gommen med ""chokladiga"" tanniner, välbalanserad och ihållande.De bästa klasarna väljs ut och skördas med omsorg. Efter krossning och avstjälkning följer en 15-dagars maceration på skalen, med remontage och jäsning vid en kontrollerad temperatur på 20-24° C. Efter att ha vilat i ståltankar fram till februari, placeras produkten sedan på de använda skalen av Amarone. Denna jäsning förbättrar vinets struktur och arom. Efter omdragning och rengöring överförs vinet till barriques av olika kapaciteter. Efter 12 månader blandas det och får åldras i flaska ytterligare 6 månader.",14.95,,,Cecilia Beretta,,,,/owif/images/110192?size=300,,,Pardon Our Interruption
118948,Chapel Hill Riesling Sauvignon Blanc BIB,"Fruktigt vitt vin med ungdomlig smak med inslag av vit persika, gula äpplen, honung, örter och lime. Serveras vid cirka 8°C som sällskapsdryck eller till lättare rätter med kyckling eller fisk.",15.95,,,Chapel Hill,,,,/owif/images/118948?size=300,,,Pardon Our Interruption
119390,Chapel Hill Rosé BIB,,15.95,,,Chapel Hill,,,,/owif/images/119390?size=300,,,Pardon Our Interruption
109818,Chapel Hill Tempranillo BIB,,15.95,,,Chapel Hill,,,,/owif/images/109818?size=300,,,Pardon Our Interruption
110085,Chapoutier Belleruche Côtes du Rhône BIB,,35.95,,,M. Chapoutier,,,,/owif/images/110085?size=300,,,Pardon Our Interruption
107763,Chapoutier Châteauneuf-du-Pape BIO,Colour of intense crimson. On the nose expect complex aromas of ripe red fruits. Wine has a lot of fatness and strength with spicy aromas developing into leather.,35.95,,,M. Chapoutier,,,,/owif/images/107763?size=300,,,Pardon Our Interruption
107995,Chapoutier Côtes du Rhône BIO,"Colour of very intense garnet red. Open and precise on the nose, with red fruit aromas. Honest and delicious taste. This wine is full, full-bodied, rich, with silky tannins. It shows beautiful structure. Fruity and elegant finish.",11.95,,,M. Chapoutier,,,,/owif/images/107995?size=300,,,Pardon Our Interruption
109658,Château Bellegrave Les Charmes,"Julien and Ludovic Meffre are setting up as young farmers to offer very high quality wines which represent a real alternative to the Grand Crus Classés which surround them. Thanks to the quality of the terroirs, they produce a tannic, elegant, structured wine which is predominantly Cabernet-Sauvignon, very typical of the Pauillac appellation. The structure of Château Bellegrave makes it a little gem nestled in the heart of the Grand Crus Classés.  ",31.5,,,Château Bellegrave,,,,/owif/images/109658?size=300,,,Pardon Our Interruption
110147,Château Brown,,42.95,,,Château Brown,,,,/Dist/Img/new-taxfree/usercategory-7.png,,,Pardon Our Interruption
109661,Château Canon Saint-Michel l'Authentique,"In 2006, Christine and Jean-Yves Millaire, the owners,  decided to switch the vineyard to organic production, firstly to respect their terroir and soils, and also to try and leave the lands which will one day belong to their children in the best possible condition. This method of farming means the grapes they bring to their wine storehouses are bursting with health and are very representative of their terroir, The terroir of Canon Fronsac with its very typical argilo-calcareous slopes. They are very proud to produce healthy wines  which are grown the most traditional way possible.",24.5,,,Château Canon Saint-Michel,,,,/owif/images/109661?size=300,,,Pardon Our Interruption
109488,Chateau Clément Saint-Jean,"Sedan 1996 har fastigheten förvaltas direkt av Uni-Médoc kooperativ vingård (Cave Les Vignerons d'Uni-Médoc), en grupp vinmakare särskilt knutna till mark och terroir.Beläget i staden Bégadan, Château Clément Sain-Jeankombinerar de modernaste teknikerna och respekten för miljön för att producera druvor av hög kvalitet. Resultatet av dettaPassion i vingården är Cru Bourgeois erkännande, en verklig garanti för excellens.",13.95,,,Château Clement,,,,/owif/images/109488?size=300,,,Pardon Our Interruption
118955,Château de Sancerre,"Elegant aroma with citrus fruit and White flower notes. Mineral with plenty of freshness Acidulous structure Fresh fruit, white flower, grape fruit lemon and peach aromas Long aromatic persistence.",24.95,,,Château de Sancerre,,,,/owif/images/118955?size=300,,,Pardon Our Interruption
110044,Chateau Des Jaume Tautavel,"Lovely ruby red colour with dark and intense reflections.Complex and intensely fruity.Silky, fresh and minerak with aromas of ripe red fruitscomplemented by a hint of vanilla. Well-balanced withfine and elegant tannins. Beautiful long finish.",13.95,,,Château des Jaume ,,,,/owif/images/110044?size=300,,,Pardon Our Interruption
109339,Chateau Domeyne,"Château Domeyne, vars vingård ligger på grushögarna i kommunen Saint-Estéphe, blev Claire och Gonzague Lurtons egendom i december 2006.Mellan dem äger de redan Château Ferriere, Château La Gurgue och Château Haut Bages Libéral (Claire) och Château Durfort Vivens (Gonzague), och de samlar nu sin expertis för att utveckla den fantastiska terroir som Château Domeyne vinstockar står på.",20.95,,,J.M. Cazes Sélection,,,,/owif/images/109339?size=300,,,Pardon Our Interruption
109660,Château du Vieux Guinot La Petite Chapelle,"Hélène Rollet is the owner of the Château du Vieux Guinot which belongs to her family from 1729. Her passion is to carry forward and make the product, the property evolve, to push it forward.Château Vieux Guinot is a traditional Saint-Émilion in the sense that it is both elegant and powerful.This wine can easily mature up to 10/15 years, with good length on the palate. It is both suave and persistent",26.95,,,Château Vieux Guinot,,,,/owif/images/109660?size=300,,,Pardon Our Interruption
109655,Château Enclos Haut-Mazeyres Le Paradis,"Château Enclos Haut Mazeyres, in the Pomerol designation area, is a family property that has been passed on from woman to woman since 1830. Yoann Gregori  joined his partner in 2012. On the property, there are  many trees and hedgerows that are very useful for the nesting of birds.Yoann works hand in hand with the surrounding biodiversity and respect his terroir as much as he can to preserve and respect his fruit.The Château Enclos Haut-Mazyres is elegant, soft and intense at the same time, with well-mastered woody sensations.Drink a glass of this wine is a moment of pleasure and conviviality.",35.95,,,Château Enclos,,,,/owif/images/109655?size=300,,,Pardon Our Interruption
109924,Château Fourney Le Clos Saint-Emilion Grand Cru,,28.95,,,Chateau Fourney,,,,/owif/images/109924?size=300,,,Pardon Our Interruption
109919,Château Grand Peyrou Les Moureaux,,22.95,,,Chateau Grand Peyrou,,,,/owif/images/109919?size=300,,,Pardon Our Interruption
109829,Château Haut Cadet 2018,"Denna fastighet, belägen vid Bragard, i norra Saint-Emilion appellation, har köpts av de Gaye-familjen 2015.Med Château Grand Corbin Manuel (som ligger 200 meter från Haut Cadet) representerar den 26 hektar under produktion till appellationen Grand Cru av Saint Emilion. 55% av dessa 26 hektar är avsedda att producera Château Haut Cadet.82 % Merlot / 13 % Cabernet Franc / 5 % Cabernet SauvignonFärg: Mörkröd djupfärg.Bukett: Färska med blommiga och svarta fruktnoter.Smak: Intensiv, med tanniner som ger en extra touch av komplexitet.Finish: Bra längd och uthållighet",19.95,,,Chateau Haut Cadet,,,,/owif/images/109829?size=300,,,Pardon Our Interruption
109679,Château La Claymore,"Under 1000- och 1100-talen präglades Bordeaux-regionen av den engelska närvaron. Samtidigt dekorerade benediktinermunkarna den monolitiska kyrkan Saint-Emilion med skulpturer influerade av den keltiska kulturen. Denna blandning av anglosaxisk och keltisk kultur har därmed format vår region. Detta återspeglas också i det historiska namnet på vår egendom: LA CLAYMORE. Engelska klingande, detta namn skrevs Claimh Mhor i Celtic, och hänvisade till det breda svärdet av skotska Highlanders, keltiska krigare som ska ha kämpat med den engelska armén i Aquitaine.Alla våra tomter odlas med respekt för miljön och full uttryck för terroiren: Låg behandlingsnivå, frekvent jordbearbetning, systematisk bladförtunning, grön skörd, sortering.Vinrankor på de soliga sluttningarna av gården, med jord rik på järn, lera och sandstenar, producerar CHATEAU LA CLAYMORETre sorter: MERLOT mestadels, CABERNET FRANC och MALBECDjup lila färg med silverglänsande. Komplex",13.95,,,J.M. Cazes Sélection,,,,/owif/images/109679?size=300,,,Pardon Our Interruption
